Time,Conc,LSD,USD,Concentration,LSD1,USD1
0,81.2892561983471,75.2727272727273,87.3057851239669,5205.91841652893,4820.60847272727,5591.22836033058
200,89.8512396694215,87.0743801652893,92.6280991735537,5754.24410578512,5576.40874710744,5932.07946446281
300,97.4876033057851,93.5537190082645,100.727272727273,6243.29134214876,5991.35791735537,6450.76592727274
600,108.132231404959,102.809917355372,113.685950413223,6924.99355041324,6584.142446281,7280.66426776859
800,104.661157024793,100.03305785124,110.446280991736,6702.69935206609,6406.30708760333,7073.18968264466
1000,105.355371900826,103.04132231405,107.669421487603,6747.15819173551,6598.96205950416,6895.35432396692
1200,110.446280991736,105.818181818182,115.537190082645,7073.18968264466,6776.79741818183,7399.22117355374
1400,115.768595041322,109.98347107438,122.710743801653,7414.04078677684,7043.55045619834,7858.62918347108
1600,114.611570247934,105.818181818182,124.561983471074,7339.94272066116,6776.79741818183,7977.18608925617
2400,81.2892561983471,75.2727272727273,87.3057851239669,5205.91841652893,4820.60847272727,5591.22836033058
2600,89.8512396694215,87.0743801652893,92.6280991735537,5754.24410578512,5576.40874710744,5932.07946446281
2800,97.4876033057851,93.5537190082645,100.727272727273,6243.29134214876,5991.35791735537,6450.76592727274
3000,108.132231404959,102.809917355372,113.685950413223,6924.99355041324,6584.142446281,7280.66426776859
3200,104.661157024793,100.03305785124,110.446280991736,6702.69935206609,6406.30708760333,7073.18968264466
3400,105.355371900826,103.04132231405,107.669421487603,6747.15819173551,6598.96205950416,6895.35432396692
3600,110.446280991736,105.818181818182,115.537190082645,7073.18968264466,6776.79741818183,7399.22117355374
3800,115.768595041322,109.98347107438,122.710743801653,7414.04078677684,7043.55045619834,7858.62918347108
4000,114.611570247934,105.818181818182,124.561983471074,7339.94272066116,6776.79741818183,7977.18608925617
