Time,Concentration,LSD,USD
0,496.556473829201,448.887052341598,545.219008264463
200,595.867768595042,561.108815426997,637.578512396694
400,616.723140495868,582.957300275482,655.454545454546
600,662.406336088154,620.695592286501,705.110192837466
800,670.351239669422,637.578512396694,704.117079889808
1000,673.330578512397,647.509641873279,699.151515151515
1200,704.117079889808,675.316804407713,737.882920110191
1400,745.827823691461,714.048209366391,771.64876033058
1600,694.185950413223,671.34435261708,723.979338842976
1800,721.993112947659,684.254820936639,759.731404958676
2000,712.061983471074,677.30303030303,750.793388429754
2200,721.993112947659,694.185950413223,752.779614325072
2400,754.765840220389,699.151515151515,813.359504132232
2600,781.57988980716,745.827823691461,816.338842975208
2800,796.476584022041,736.889807162532,859.042699724519
3000,822.297520661161,787.538567493113,864.008264462813
3200,790.517906336089,777.607438016533,807.40082644628
3400,842.159779614328,810.380165289256,875.92561983471
3600,842.159779614328,807.40082644628,878.904958677686
