Time,Concentration,LSD,USD
0,582.800136425648,537.553206002729,631.981582537517
2000,649.68690313779,612.309004092769,692.966575716235
4000,683.130286493861,653.62141882674,708.704638472033
6000,783.460436562073,738.213506139154,842.478171896318
8000,732.31173260573,690.99931787176,785.42769440655
10000,763.78785811733,734.278990450207,795.263983628922
12000,809.034788540249,779.525920873126,842.478171896318
14000,822.805593451567,781.493178717596,866.085266030016
16000,753.95156889495,710.671896316508,799.198499317869
18000,765.7551159618,698.868349249659,832.641882673946
20000,736.246248294677,685.097544338336,791.329467939975
22000,753.95156889495,685.097544338336,828.707366984992
24000,750.017053206003,637.883356070941,868.052523874486
26000,793.296725784445,698.868349249659,887.725102319237
28000,795.263983628922,700.835607094133,887.725102319237
30000,909.364938608458,799.198499317869,1019.53137789905
32000,826.740109140522,771.656889495224,881.823328785812
34000,860.183492496592,811.002046384718,923.135743519784
36000,858.216234652114,765.7551159618,950.677353342429
