Time,Concentration,LSD,USD
0,15.5110504774898,14.4592391304348,16.6119565217391
2000,15.8357435197817,15.5217391304348,16.1869565217391
4000,16.5593451568895,16.0760869565217,17.0739130434783
6000,17.4499317871759,17.0923913043479,17.8592391304348
8000,17.9972714870396,17.6005434782608,18.4135869565217
10000,17.6261937244201,17.3788043478261,17.8869565217392
12000,17.9416098226466,17.6282608695652,18.2842391304348
14000,17.1252387448841,16.8152173913044,17.4527173913044
16000,17.5798090040928,17.1478260869565,18.0347826086956
18000,17.9416098226466,17.4157608695652,18.4967391304348
20000,17.0324693042293,16.3255434782609,17.7668478260869
22000,17.0324693042293,16.7228260869565,17.3510869565217
24000,16.5407912687585,16.1222826086956,16.9907608695652
26000,15.956343792633,15.6233695652174,16.279347826087
28000,16.5222373806276,16.0114130434783,17.0739130434783
30000,16.6799454297408,16.3440217391304,17.046195652174
32000,16.9211459754434,16.3809782608696,17.4989130434783
34000,18.0158253751705,17.4157608695652,18.6538043478261
36000,17.5612551159618,17.1478260869565,18.0163043478261
