Time,Concentration,LSD,USD
0,586.359097320169,546.175246132208,625.677918424754
200,649.001692524682,629.936990154711,682.465541490858
400,697.407334273625,676.786779184248,719.377496483826
600,752.931452750352,713.698734177215,800.299859353023
800,751.507757404795,716.53811533052,783.263572433194
1000,754.355148095909,739.25316455696,771.906047819974
1200,826.963610719321,794.621097046413,857.087482419129
1400,852.590126939354,815.9164556962,896.838818565398
1600,816.997743300423,767.646976090017,864.185935302391
1800,841.200564174891,774.745428973279,908.196343178624
2000,808.455571227081,743.512236286918,875.543459915611
2200,804.18448519041,747.771308016875,865.605625879044
2400,797.066008462625,712.279043600563,882.641912798873
2600,878.216643159379,791.781715893109,967.823347398028
2800,855.437517630468,780.424191279889,930.911392405064
3000,863.979689703809,774.745428973279,957.885513361461
3200,845.471650211569,801.719549929676,893.999437412093
3400,898.148377997176,841.470886075952,953.626441631503
3600,899.572073342733,817.336146272853,989.118706047822
