Time,CSF,Plasma
1.000000e-01,1.181024,0.004994
2.000000e-01,2.351978,0.019049
3.000000e-01,3.502691,0.032648
4.000000e-01,4.633499,0.045970
5.000000e-01,5.744742,0.059055
6.000000e-01,6.836759,0.071911
7.000000e-01,7.909882,0.084544
8.000000e-01,8.964437,0.096959
9.000000e-01,10.000747,0.109159
1,11.019127,0.121148
1.100000e+00,12.019887,0.132929
1.200000e+00,13.003332,0.144507
1.300000e+00,13.969761,0.155884
1.400000e+00,14.919470,0.167065
1.500000e+00,15.852746,0.178052
1.600000e+00,16.769875,0.188849
1.700000e+00,17.671136,0.199459
1.800000e+00,18.556804,0.209885
1.900000e+00,19.427147,0.220132
2,20.282433,0.230200
2.100000e+00,21.122920,0.240095
2.200000e+00,21.948865,0.249819
2.300000e+00,22.760519,0.259374
2.400000e+00,23.558131,0.268764
2.500000e+00,24.341942,0.277991
2.600000e+00,25.112192,0.287059
2.700000e+00,25.869115,0.295970
2.800000e+00,26.612942,0.304727
2.900000e+00,27.343899,0.313332
3,28.062209,0.321788
3.100000e+00,28.768092,0.330098
3.200000e+00,29.461761,0.338264
3.300000e+00,30.143428,0.346289
3.400000e+00,30.813301,0.354175
3.500000e+00,31.471584,0.361925
3.600000e+00,32.118477,0.369541
3.700000e+00,32.754178,0.377024
3.800000e+00,33.378881,0.384379
3.900000e+00,33.992774,0.391606
4,34.596046,0.398708
4.100000e+00,35.188881,0.405687
4.200000e+00,35.771458,0.412546
4.300000e+00,36.343955,0.419285
4.400000e+00,36.906547,0.425908
4.500000e+00,37.459406,0.432417
4.600000e+00,38.002699,0.438813
4.700000e+00,38.536591,0.445098
4.800000e+00,39.061247,0.451275
4.900000e+00,39.576825,0.457344
5,40.083482,0.463309
5.100000e+00,40.581373,0.469170
5.200000e+00,41.070650,0.474930
5.300000e+00,41.551461,0.480591
5.400000e+00,42.023954,0.486153
5.500000e+00,42.488271,0.491619
5.600000e+00,42.944555,0.496991
5.700000e+00,43.392944,0.502270
5.800000e+00,43.833576,0.507457
5.900000e+00,44.266583,0.512555
6,44.692099,0.517564
6.100000e+00,45.110252,0.522487
6.200000e+00,45.521171,0.527324
6.300000e+00,45.924980,0.532078
6.400000e+00,46.321802,0.536750
6.500000e+00,46.711758,0.541341
6.600000e+00,47.094968,0.545852
6.700000e+00,47.471547,0.550285
6.800000e+00,47.841611,0.554642
6.900000e+00,48.205271,0.558923
7,48.562640,0.563130
7.100000e+00,48.913826,0.567264
7.200000e+00,49.258936,0.571327
7.300000e+00,49.598074,0.575320
7.400000e+00,49.931345,0.579243
7.500000e+00,50.258849,0.583099
7.600000e+00,50.580687,0.586888
7.700000e+00,50.896957,0.590611
7.800000e+00,51.207754,0.594270
7.900000e+00,51.513175,0.597865
8,51.839453,0.602420
8.100000e+00,56.385686,0.717853
8.200000e+00,60.904331,0.790633
8.300000e+00,65.332351,0.853765
8.400000e+00,69.670973,0.914052
8.500000e+00,73.921885,0.972821
8.600000e+00,78.086841,1.030343
8.700000e+00,82.167573,1.086691
8.800000e+00,86.165784,1.141897
8.900000e+00,90.083143,1.195987
9,93.921285,1.248983
9.100000e+00,97.681811,1.300907
9.200000e+00,101.366291,1.351781
9.300000e+00,104.976264,1.401626
9.400000e+00,108.513235,1.450463
9.500000e+00,111.978681,1.498313
9.600000e+00,115.374048,1.545195
9.700000e+00,118.700754,1.591129
9.800000e+00,121.960187,1.636134
9.900000e+00,125.153707,1.680229
10,128.282647,1.723432
1.010000e+01,131.348314,1.765762
1.020000e+01,134.351986,1.807236
1.030000e+01,137.294918,1.847871
1.040000e+01,140.178337,1.887684
1.050000e+01,143.003447,1.926692
1.060000e+01,145.771428,1.964911
1.070000e+01,148.483434,2.002358
1.080000e+01,151.140598,2.039047
1.090000e+01,153.744028,2.074994
11,156.294811,2.110214
1.110000e+01,158.794012,2.144723
1.120000e+01,161.242674,2.178533
1.130000e+01,163.641819,2.211659
1.140000e+01,165.992447,2.244116
1.150000e+01,168.295542,2.275916
1.160000e+01,170.552062,2.307074
1.170000e+01,172.762951,2.337601
1.180000e+01,174.929132,2.367511
1.190000e+01,177.051507,2.396816
12,179.130963,2.425528
1.210000e+01,181.168369,2.453660
1.220000e+01,183.164574,2.481223
1.230000e+01,185.120411,2.508228
1.240000e+01,187.036697,2.534688
1.250000e+01,188.914232,2.560612
1.260000e+01,190.753799,2.586012
1.270000e+01,192.556166,2.610899
1.280000e+01,194.322085,2.635282
1.290000e+01,196.052294,2.659172
13,197.747514,2.682579
1.310000e+01,199.408453,2.705513
1.320000e+01,201.035805,2.727982
1.330000e+01,202.630248,2.749998
1.340000e+01,204.192448,2.771568
1.350000e+01,205.723057,2.792702
1.360000e+01,207.222713,2.813409
1.370000e+01,208.692044,2.833697
1.380000e+01,210.131661,2.853575
1.390000e+01,211.542167,2.873051
14,212.924149,2.892133
1.410000e+01,214.278184,2.910829
1.420000e+01,215.604838,2.929147
1.430000e+01,216.904664,2.947094
1.440000e+01,218.178205,2.964679
1.450000e+01,219.425993,2.981908
1.460000e+01,220.648547,2.998788
1.470000e+01,221.846378,3.015328
1.480000e+01,223.019987,3.031532
1.490000e+01,224.169863,3.047409
15,225.296487,3.062965
1.510000e+01,226.400327,3.078207
1.520000e+01,227.481846,3.093140
1.530000e+01,228.541493,3.107771
1.540000e+01,229.579713,3.122107
1.550000e+01,230.596937,3.136152
1.560000e+01,231.593591,3.149914
1.570000e+01,232.570091,3.163397
1.580000e+01,233.526844,3.176607
1.590000e+01,234.464249,3.189551
16,235.382698,3.202232
1.610000e+01,236.282573,3.214657
1.620000e+01,237.164252,3.226831
1.630000e+01,238.028101,3.238759
1.640000e+01,238.874481,3.250446
1.650000e+01,239.703745,3.261896
1.660000e+01,240.516240,3.273114
1.670000e+01,241.312305,3.284106
1.680000e+01,242.092272,3.294876
1.690000e+01,242.856466,3.305427
17,243.605206,3.315766
1.710000e+01,244.338805,3.325895
1.720000e+01,245.057569,3.335820
1.730000e+01,245.761799,3.345543
1.740000e+01,246.451787,3.355070
1.750000e+01,247.127822,3.364405
1.760000e+01,247.790187,3.373551
1.770000e+01,248.439157,3.382511
1.780000e+01,249.075003,3.391291
1.790000e+01,249.697991,3.399893
18,250.308382,3.408321
1.810000e+01,250.906428,3.416579
1.820000e+01,251.492381,3.424669
1.830000e+01,252.066485,3.432596
1.840000e+01,252.628979,3.440363
1.850000e+01,253.180099,3.447973
1.860000e+01,253.720073,3.455428
1.870000e+01,254.249128,3.462733
1.880000e+01,254.767485,3.469891
1.890000e+01,255.275359,3.476903
19,255.772963,3.483774
1.910000e+01,256.260504,3.490506
1.920000e+01,256.738186,3.497101
1.930000e+01,257.206209,3.503564
1.940000e+01,257.664767,3.509895
1.950000e+01,258.114052,3.516099
1.960000e+01,258.554251,3.522177
1.970000e+01,258.985549,3.528132
1.980000e+01,259.408125,3.533967
1.990000e+01,259.822155,3.539684
20,260.227813,3.545285
2.010000e+01,260.625268,3.550773
2.020000e+01,261.014686,3.556150
2.030000e+01,261.396228,3.561418
2.040000e+01,261.770055,3.566580
2.050000e+01,262.136322,3.571637
2.060000e+01,262.495183,3.576592
2.070000e+01,262.846787,3.581447
2.080000e+01,263.191280,3.586203
