Iteration,Loss
1,0.131487
2,0.131414
3,0.131467
4,0.131487
5,0.131260
6,0.131376
7,0.131429
8,0.131201
9,0.131331
10,0.131398
11,0.131251
12,0.131258
13,0.131286
14,0.131324
15,0.131244
16,0.131260
17,0.131244
18,0.131193
19,0.131283
20,0.131251
21,0.131295
22,0.131287
23,0.131216
24,0.131232
25,0.131237
26,0.131189
27,0.131307
28,0.131245
29,0.131288
30,0.131337
31,0.131206
32,0.131205
33,0.131230
34,0.131168
35,0.131454
36,0.131148
37,0.131751
38,0.131162
39,0.131220
40,0.131683
41,0.131252
42,0.131154
43,0.131156
44,0.131244
45,0.131168
46,0.131147
47,0.131185
48,0.131651
49,0.131300
50,0.131144
51,0.131789
52,0.131147
53,0.131188
54,0.131906
55,0.131308
56,0.131149
57,0.131256
58,0.131212
59,0.131259
60,0.131146
61,0.131156
62,0.131162
63,0.131152
64,0.131483
65,0.131217
66,0.131143
67,0.131146
68,0.131197
69,0.132042
70,0.131316
71,0.131184
72,0.131269
73,0.131220
74,0.131216
75,0.131144
76,0.131148
77,0.131151
78,0.131158
79,0.131469
80,0.131221
81,0.131148
82,0.131163
83,0.131158
84,0.131159
85,0.131518
86,0.131143
87,0.131144
88,0.131144
89,0.131145
90,0.131147
91,0.131231
92,0.131172
93,0.131143
94,0.131147
95,0.131146
96,0.131146
97,0.131252
98,0.131162
99,0.131143
100,0.131143
101,0.131144
102,0.131145
103,0.131146
104,0.131145
105,0.131239
106,0.131172
107,0.131143
108,0.131142
109,0.131142
110,0.131144
111,0.131145
112,0.131146
113,0.131160
114,0.131453
115,0.131205
116,0.131153
117,0.131165
118,0.131160
119,0.131152
120,0.131517
121,0.131142
122,0.131144
123,0.131145
124,0.131149
125,0.131152
126,0.131156
127,0.131475
128,0.131204
129,0.131145
130,0.131145
131,0.131159
132,0.131156
133,0.131161
134,0.131519
135,0.131142
136,0.131143
137,0.131144
138,0.131145
139,0.131145
140,0.131238
141,0.131164
142,0.131142
143,0.131142
144,0.131145
145,0.131145
146,0.131146
147,0.131246
148,0.131164
149,0.131142
150,0.131142
151,0.131143
152,0.131143
153,0.131142
154,0.131167
155,0.131149
156,0.131142
157,0.131141
158,0.131142
159,0.131142
160,0.131143
161,0.131143
162,0.131146
163,0.131229
164,0.131161
165,0.131143
166,0.131143
167,0.131146
168,0.131146
169,0.131144
170,0.131251
171,0.131165
172,0.131141
173,0.131142
174,0.131142
175,0.131141
176,0.131143
177,0.131162
178,0.131148
179,0.131142
180,0.131142
181,0.131143
182,0.131143
183,0.131142
184,0.131171
185,0.131146
186,0.131141
187,0.131142
188,0.131142
189,0.131142
190,0.131142
191,0.131143
192,0.131165
193,0.131148
194,0.131142
195,0.131141
196,0.131142
197,0.131142
198,0.131142
199,0.131169
200,0.131146
201,0.131141
202,0.131142
203,0.131141
204,0.131141
205,0.131142
206,0.131147
207,0.131143
208,0.131141
209,0.131141
210,0.131141
211,0.131142
212,0.131141
213,0.131141
214,0.131143
215,0.131162
216,0.131147
217,0.131142
218,0.131142
219,0.131143
220,0.131143
221,0.131142
222,0.131171
223,0.131146
224,0.131141
225,0.131141
226,0.131142
227,0.131142
228,0.131142
229,0.131143
230,0.131164
231,0.131147
232,0.131141
233,0.131141
234,0.131142
235,0.131142
236,0.131142
237,0.131169
238,0.131146
239,0.131141
240,0.131141
241,0.131141
242,0.131141
243,0.131142
244,0.131147
245,0.131143
246,0.131141
247,0.131141
248,0.131141
249,0.131142
250,0.131142
251,0.131144
252,0.131144
253,0.131145
254,0.131237
255,0.131158
256,0.131142
257,0.131142
258,0.131144
259,0.131145
260,0.131145
261,0.131246
262,0.131166
263,0.131142
264,0.131142
265,0.131142
266,0.131142
267,0.131142
268,0.131166
269,0.131146
270,0.131141
271,0.131141
272,0.131141
273,0.131142
274,0.131142
275,0.131142
276,0.131147
277,0.131229
278,0.131155
279,0.131143
280,0.131143
281,0.131146
282,0.131146
283,0.131143
284,0.131250
285,0.131167
286,0.131141
287,0.131142
288,0.131142
289,0.131144
290,0.131143
291,0.131145
292,0.131237
293,0.131155
294,0.131142
295,0.131142
296,0.131145
297,0.131145
298,0.131145
299,0.131245
300,0.131167
