Time,Brain,CSF,Plasma
1.000000e-01,0.651977,0.015704,0.011512
2.000000e-01,1.216591,0.088106,0.073510
3.000000e-01,1.705549,0.199351,0.170327
4.000000e-01,2.128988,0.343046,0.297405
5.000000e-01,2.495687,0.513687,0.450764
6.000000e-01,2.813250,0.706532,0.626929
7.000000e-01,3.088261,0.917505,0.822861
8.000000e-01,3.326421,1.143102,1.035903
9.000000e-01,3.532668,1.380314,1.263727
1,3.711279,1.626563,1.504291
1.100000e+00,3.865956,1.879639,1.755808
1.200000e+00,3.999908,2.137654,2.016703
1.300000e+00,4.115910,2.398997,2.285594
1.400000e+00,4.216368,2.662295,2.561266
1.500000e+00,4.303365,2.926382,2.842643
1.600000e+00,4.378705,3.190271,3.128781
1.700000e+00,4.443950,3.453128,3.418842
1.800000e+00,4.500452,3.714252,3.712085
1.900000e+00,4.549383,3.973056,4.007855
2,4.591757,4.229054,4.305569
2.100000e+00,4.628453,4.481841,4.604710
2.200000e+00,4.660233,4.731088,4.904816
2.300000e+00,4.687753,4.976528,5.205478
2.400000e+00,4.711586,5.217947,5.506328
2.500000e+00,4.732226,5.455179,5.807039
2.600000e+00,4.750100,5.688095,6.107318
2.700000e+00,4.765579,5.916604,6.406901
2.800000e+00,4.778984,6.140640,6.705553
2.900000e+00,4.790592,6.360163,7.003061
3,4.800645,6.575155,7.299235
3.100000e+00,4.809351,6.785614,7.593903
3.200000e+00,4.816891,6.991554,7.886910
3.300000e+00,4.823420,7.193002,8.178116
3.400000e+00,4.829074,7.389995,8.467396
3.500000e+00,4.833971,7.582579,8.754635
3.600000e+00,4.838211,7.770808,9.039733
3.700000e+00,4.841883,7.954740,9.322595
3.800000e+00,4.845064,8.134439,9.603139
3.900000e+00,4.847818,8.309975,9.881289
4,4.850203,8.481417,10.156979
4.100000e+00,4.852268,8.648840,10.430146
4.200000e+00,4.854057,8.812318,10.700738
4.300000e+00,4.855606,8.971929,10.968705
4.400000e+00,4.856947,9.127749,11.234004
4.500000e+00,4.858109,9.279856,11.496597
4.600000e+00,4.859115,9.428329,11.756450
4.700000e+00,4.859986,9.573244,12.013534
4.800000e+00,4.860741,9.714680,12.267821
4.900000e+00,4.861394,9.852712,12.519291
5,4.861960,9.987416,12.767925
5.100000e+00,4.862450,10.118869,13.013707
5.200000e+00,4.862874,10.247143,13.256623
5.300000e+00,4.863242,10.372312,13.496665
5.400000e+00,4.863560,10.494447,13.733825
5.500000e+00,4.863836,10.613620,13.968097
5.600000e+00,4.864074,10.729899,14.199479
5.700000e+00,4.864281,10.843352,14.427970
5.800000e+00,4.864460,10.954047,14.653571
5.900000e+00,4.864615,11.062049,14.876286
6,4.864749,11.167422,15.096118
6.100000e+00,4.864865,11.270228,15.313075
6.200000e+00,4.864966,11.370529,15.527165
6.300000e+00,4.865053,11.468386,15.738396
6.400000e+00,4.865129,11.563857,15.946779
6.500000e+00,4.865194,11.656999,16.152327
6.600000e+00,4.865251,11.747869,16.355053
6.700000e+00,4.865300,11.836522,16.554971
6.800000e+00,4.865342,11.923011,16.752095
6.900000e+00,4.865379,12.007389,16.946444
7,4.865411,12.089706,17.138033
7.100000e+00,4.865438,12.170014,17.326881
7.200000e+00,4.865462,12.248360,17.513008
7.300000e+00,4.865483,12.324793,17.696431
7.400000e+00,4.865501,12.399359,17.877172
7.500000e+00,4.865516,12.472103,18.055252
7.600000e+00,4.865530,12.543070,18.230692
7.700000e+00,4.865542,12.612303,18.403515
7.800000e+00,4.865552,12.679844,18.573743
7.900000e+00,4.865560,12.745735,18.741399
8,4.868089,12.810026,18.906508
8.100000e+00,5.190604,12.887165,19.079943
