Time,Brain,ISF,CSF,Plasma
1.000000e-01,0.691667,0.008123,-0.010130,-0.010131
2.000000e-01,1.366931,0.031431,-0.009500,-0.008947
3.000000e-01,2.026182,0.068426,-0.008263,-0.006122
4.000000e-01,2.669800,0.117731,-0.006168,-0.000988
5.000000e-01,3.298154,0.178077,-0.002995,0.007028
6.000000e-01,3.911607,0.248299,0.001443,0.018417
7.000000e-01,4.510513,0.327328,0.007307,0.033592
8.000000e-01,5.095216,0.414179,0.014733,0.052896
9.000000e-01,5.666054,0.507950,0.023833,0.076612
1,6.223354,0.607813,0.034701,0.104965
1.100000e+00,6.767439,0.713008,0.047410,0.138132
1.200000e+00,7.298620,0.822838,0.062018,0.176241
1.300000e+00,7.817206,0.936667,0.078566,0.219383
1.400000e+00,8.323493,1.053911,0.097083,0.267612
1.500000e+00,8.817774,1.174038,0.117585,0.320948
1.600000e+00,9.300334,1.296559,0.140079,0.379384
1.700000e+00,9.771450,1.421030,0.164559,0.442888
1.800000e+00,10.231394,1.547045,0.191014,0.511404
1.900000e+00,10.680430,1.674237,0.219422,0.584859
2,11.118818,1.802267,0.249757,0.663161
2.100000e+00,11.546810,1.930833,0.281986,0.746204
2.200000e+00,11.964653,2.059656,0.316069,0.833868
2.300000e+00,12.372586,2.188485,0.351966,0.926026
2.400000e+00,12.770846,2.317095,0.389628,1.022536
2.500000e+00,13.159661,2.445281,0.429007,1.123255
2.600000e+00,13.539256,2.572859,0.470049,1.228028
2.700000e+00,13.909849,2.699662,0.512700,1.336698
2.800000e+00,14.271654,2.825544,0.556903,1.449105
2.900000e+00,14.624878,2.950371,0.602600,1.565085
3,14.969727,3.074026,0.649731,1.684470
3.100000e+00,15.306397,3.196404,0.698236,1.807096
3.200000e+00,15.635084,3.317413,0.748054,1.932794
3.300000e+00,15.955976,3.436973,0.799125,2.061397
3.400000e+00,16.269258,3.555012,0.851386,2.192741
3.500000e+00,16.575111,3.671469,0.904778,2.326659
3.600000e+00,16.873711,3.786292,0.959239,2.462990
3.700000e+00,17.165229,3.899436,1.014709,2.601572
3.800000e+00,17.449835,4.010864,1.071130,2.742249
3.900000e+00,17.727691,4.120545,1.128441,2.884864
4,17.998959,4.228454,1.186585,3.029267
4.100000e+00,18.263793,4.334572,1.245505,3.175309
4.200000e+00,18.522347,4.438884,1.305145,3.322844
4.300000e+00,18.774770,4.541381,1.365451,3.471732
4.400000e+00,19.021206,4.642057,1.426368,3.621835
4.500000e+00,19.261799,4.740909,1.487845,3.773019
4.600000e+00,19.496686,4.837941,1.549830,3.925155
4.700000e+00,19.726002,4.933156,1.612273,4.078117
4.800000e+00,19.949881,5.026561,1.675127,4.231784
4.900000e+00,20.168451,5.118166,1.738343,4.386038
5,20.381837,5.207983,1.801877,4.540766
5.100000e+00,20.590163,5.296027,1.865684,4.695858
5.200000e+00,20.793549,5.382312,1.929720,4.851210
5.300000e+00,20.992112,5.466856,1.993945,5.006720
5.400000e+00,21.185965,5.549678,2.058319,5.162291
5.500000e+00,21.375222,5.630798,2.122801,5.317829
5.600000e+00,21.559991,5.710236,2.187356,5.473245
5.700000e+00,21.740378,5.788015,2.251947,5.628453
5.800000e+00,21.916487,5.864158,2.316539,5.783372
5.900000e+00,22.088420,5.938687,2.381099,5.937922
6,22.256276,6.011628,2.445594,6.092030
6.100000e+00,22.420151,6.083003,2.509995,6.245624
6.200000e+00,22.580140,6.152839,2.574271,6.398636
6.300000e+00,22.736335,6.221160,2.638394,6.551001
6.400000e+00,22.888825,6.287993,2.702338,6.702659
6.500000e+00,23.037700,6.353362,2.766075,6.853552
6.600000e+00,23.183044,6.417293,2.829581,7.003624
6.700000e+00,23.324942,6.479812,2.892834,7.152823
6.800000e+00,23.463474,6.540944,2.955809,7.301100
6.900000e+00,23.598721,6.600717,3.018486,7.448410
7,23.730761,6.659154,3.080845,7.594708
7.100000e+00,23.859670,6.716283,3.142866,7.739953
7.200000e+00,23.985522,6.772127,3.204530,7.884108
7.300000e+00,24.108389,6.826713,3.265821,8.027135
7.400000e+00,24.228343,6.880065,3.326721,8.169003
7.500000e+00,24.345452,6.932208,3.387216,8.309678
7.600000e+00,24.459783,6.983167,3.447290,8.449133
7.700000e+00,24.571404,7.032966,3.506931,8.587340
7.800000e+00,24.680377,7.081628,3.566124,8.724274
7.900000e+00,24.786767,7.129178,3.624858,8.859913
8,24.892802,7.175675,3.683129,8.994191
8.100000e+00,25.288811,7.229335,3.742138,9.121383
8.200000e+00,25.677200,7.288171,3.800863,9.248044
8.300000e+00,26.056379,7.351560,3.859404,9.374483
8.400000e+00,26.426566,7.418957,3.917857,9.500938
8.500000e+00,26.787974,7.489864,3.976301,9.627609
8.600000e+00,27.140812,7.563822,4.034806,9.754664
8.700000e+00,27.485282,7.640413,4.093430,9.882244
8.800000e+00,27.821584,7.719251,4.152220,10.010461
8.900000e+00,28.149910,7.799986,4.211217,10.139409
9,28.470451,7.882297,4.270450,10.269156
9.100000e+00,28.783390,7.965889,4.329945,10.399754
9.200000e+00,29.088908,8.050497,4.389718,10.531239
9.300000e+00,29.387180,8.135875,4.449781,10.663630
9.400000e+00,29.678380,8.221803,4.510141,10.796935
9.500000e+00,29.962674,8.308077,4.570799,10.931150
9.600000e+00,30.240226,8.394516,4.631755,11.066259
9.700000e+00,30.511196,8.480952,4.693001,11.202239
9.800000e+00,30.775740,8.567237,4.754529,11.339059
9.900000e+00,31.034011,8.653234,4.816327,11.476680
10,31.286157,8.738821,4.878382,11.615060
1.010000e+01,31.532323,8.823889,4.940676,11.754149
1.020000e+01,31.772652,8.908339,5.003193,11.893895
1.030000e+01,32.007282,8.992083,5.065912,12.034241
1.040000e+01,32.236347,9.075043,5.128814,12.175128
1.050000e+01,32.459981,9.157149,5.191876,12.316496
1.060000e+01,32.678311,9.238340,5.255075,12.458281
1.070000e+01,32.891463,9.318562,5.318389,12.600420
1.080000e+01,33.099561,9.397768,5.381795,12.742847
1.090000e+01,33.302724,9.475916,5.445267,12.885497
11,33.501069,9.552972,5.508781,13.028305
1.110000e+01,33.694711,9.628906,5.572315,13.171207
1.120000e+01,33.883760,9.703692,5.635842,13.314136
1.130000e+01,34.068326,9.777311,5.699340,13.457030
1.140000e+01,34.248516,9.849745,5.762784,13.599826
1.150000e+01,34.424432,9.920981,5.826150,13.742460
1.160000e+01,34.596177,9.991010,5.889416,13.884874
1.170000e+01,34.763848,10.059824,5.952558,14.027007
1.180000e+01,34.927544,10.127421,6.015555,14.168801
1.190000e+01,35.087358,10.193797,6.078383,14.310201
12,35.243381,10.258955,6.141022,14.451151
1.210000e+01,35.395705,10.322898,6.203452,14.591599
1.220000e+01,35.544417,10.385628,6.265651,14.731493
1.230000e+01,35.689602,10.447154,6.327601,14.870785
1.240000e+01,35.831344,10.507483,6.389282,15.009427
1.250000e+01,35.969724,10.566624,6.450676,15.147373
1.260000e+01,36.104823,10.624588,6.511765,15.284579
1.270000e+01,36.236719,10.681385,6.572533,15.421004
1.280000e+01,36.365486,10.737029,6.632963,15.556608
1.290000e+01,36.491200,10.791532,6.693040,15.691352
13,36.613933,10.844909,6.752748,15.825200
1.310000e+01,36.733755,10.897174,6.812074,15.958118
1.320000e+01,36.850736,10.948341,6.871004,16.090072
1.330000e+01,36.964942,10.998428,6.929525,16.221034
1.340000e+01,37.076440,11.047448,6.987624,16.350972
1.350000e+01,37.185294,11.095420,7.045290,16.479860
1.360000e+01,37.291567,11.142359,7.102512,16.607671
1.370000e+01,37.395320,11.188283,7.159280,16.734383
1.380000e+01,37.496612,11.233207,7.215584,16.859972
1.390000e+01,37.595502,11.277150,7.271414,16.984417
14,37.692047,11.320128,7.326762,17.107699
1.410000e+01,37.786302,11.362159,7.381620,17.229801
1.420000e+01,37.878322,11.403260,7.435981,17.350705
1.430000e+01,37.968160,11.443447,7.489838,17.470397
1.440000e+01,38.055868,11.482739,7.543184,17.588862
1.450000e+01,38.141496,11.521152,7.596014,17.706089
1.460000e+01,38.225093,11.558702,7.648321,17.822066
1.470000e+01,38.306707,11.595408,7.700102,17.936783
1.480000e+01,38.386387,11.631286,7.751352,18.050232
1.490000e+01,38.464176,11.666352,7.802067,18.162405
15,38.540121,11.700622,7.852243,18.273295
1.510000e+01,38.614265,11.734113,7.901878,18.382897
1.520000e+01,38.686651,11.766841,7.950968,18.491206
1.530000e+01,38.757320,11.798822,7.999512,18.598220
1.540000e+01,38.826313,11.830071,8.047508,18.703934
1.550000e+01,38.893670,11.860604,8.094954,18.808349
1.560000e+01,38.959430,11.890435,8.141849,18.911462
1.570000e+01,39.023630,11.919580,8.188192,19.013274
1.580000e+01,39.086308,11.948054,8.233983,19.113786
1.590000e+01,39.147500,11.975871,8.279221,19.213000
16,39.207240,12.003045,8.323907,19.310916
1.610000e+01,39.265564,12.029590,8.368042,19.407539
1.620000e+01,39.322504,12.055521,8.411625,19.502872
1.630000e+01,39.378095,12.080849,8.454659,19.596920
1.640000e+01,39.432367,12.105590,8.497144,19.689686
1.650000e+01,39.485352,12.129755,8.539081,19.781177
1.660000e+01,39.537080,12.153358,8.580473,19.871397
1.670000e+01,39.587582,12.176412,8.621322,19.960355
1.680000e+01,39.636886,12.198927,8.661629,20.048055
1.690000e+01,39.685021,12.220918,8.701397,20.134507
17,39.732015,12.242394,8.740628,20.219717
1.710000e+01,39.777894,12.263369,8.779326,20.303693
1.720000e+01,39.822685,12.283853,8.817493,20.386444
1.730000e+01,39.866414,12.303858,8.855132,20.467979
1.740000e+01,39.909105,12.323394,8.892247,20.548306
1.750000e+01,39.950785,12.342472,8.928840,20.627436
1.760000e+01,39.991476,12.361102,8.964916,20.705378
1.770000e+01,40.031202,12.379296,9.000478,20.782142
1.780000e+01,40.069986,12.397062,9.035530,20.857739
1.790000e+01,40.107850,12.414411,9.070076,20.932178
18,40.144817,12.431353,9.104119,21.005470
1.810000e+01,40.180907,12.447895,9.137664,21.077627
1.820000e+01,40.216140,12.464049,9.170714,21.148659
1.830000e+01,40.250539,12.479823,9.203275,21.218578
1.840000e+01,40.284121,12.495225,9.235351,21.287394
1.850000e+01,40.316908,12.510265,9.266945,21.355120
1.860000e+01,40.348916,12.524950,9.298063,21.421767
