Time,Concentration,LSD,USD
0,15.5110504774898,14.4592391304348,16.6119565217391
2000,15.8357435197817,15.5217391304348,16.1869565217391
4000,16.5593451568895,16.0760869565217,17.0739130434783
6000,17.4499317871759,17.0923913043479,17.8592391304348
8000,17.9972714870396,17.6005434782608,18.4135869565217
10000,17.6261937244201,17.3788043478261,17.8869565217392
12000,17.9416098226466,17.6282608695652,18.2842391304348
14000,17.1252387448841,16.8152173913044,17.4527173913044
16000,17.5798090040928,17.1478260869565,18.0347826086956
24000,15.5110504774898,14.4592391304348,16.6119565217391
26000,15.8357435197817,15.5217391304348,16.1869565217391
28000,16.5593451568895,16.0760869565217,17.0739130434783
30000,17.4499317871759,17.0923913043479,17.8592391304348
32000,17.9972714870396,17.6005434782608,18.4135869565217
34000,17.6261937244201,17.3788043478261,17.8869565217392
36000,17.9416098226466,17.6282608695652,18.2842391304348
38000,17.1252387448841,16.8152173913044,17.4527173913044
40000,17.5798090040928,17.1478260869565,18.0347826086956
