Time,Concentration,LSD,USD
0,496.556473829201,448.887052341598,545.219008264463
200,595.867768595042,561.108815426997,637.578512396694
400,616.723140495868,582.957300275482,655.454545454546
600,662.406336088154,620.695592286501,705.110192837466
800,670.351239669422,637.578512396694,704.117079889808
1000,673.330578512397,647.509641873279,699.151515151515
1200,704.117079889808,675.316804407713,737.882920110191
1400,745.827823691461,714.048209366391,771.64876033058
1600,694.185950413223,671.34435261708,723.979338842976
2400,496.556473829201,448.887052341598,545.219008264463
2600,595.867768595042,561.108815426997,637.578512396694
2800,616.723140495868,582.957300275482,655.454545454546
3000,662.406336088154,620.695592286501,705.110192837466
3200,670.351239669422,637.578512396694,704.117079889808
3400,673.330578512397,647.509641873279,699.151515151515
3600,704.117079889808,675.316804407713,737.882920110191
3800,745.827823691461,714.048209366391,771.64876033058
4000,694.185950413223,671.34435261708,723.979338842976
