Time,Concentration,LSD,USD
0,582.800136425648,537.553206002729,631.981582537517
200,649.68690313779,612.309004092769,692.966575716235
400,683.130286493861,653.62141882674,708.704638472033
600,783.460436562073,738.213506139154,842.478171896318
800,732.31173260573,690.99931787176,785.42769440655
1000,763.78785811733,734.278990450207,795.263983628922
1200,809.034788540249,779.525920873126,842.478171896318
1400,822.805593451567,781.493178717596,866.085266030016
1600,753.95156889495,710.671896316508,799.198499317869
2400,582.800136425648,537.553206002729,631.981582537517
2600,649.68690313779,612.309004092769,692.966575716235
2800,683.130286493861,653.62141882674,708.704638472033
3000,783.460436562073,738.213506139154,842.478171896318
3200,732.31173260573,690.99931787176,785.42769440655
3400,763.78785811733,734.278990450207,795.263983628922
3600,809.034788540249,779.525920873126,842.478171896318
3800,822.805593451567,781.493178717596,866.085266030016
4000,753.95156889495,710.671896316508,799.198499317869
