Time,Concentration,LSD,USD
0,586.359097320169,546.175246132208,625.677918424754
200,649.001692524682,629.936990154711,682.465541490858
400,697.407334273625,676.786779184248,719.377496483826
600,752.931452750352,713.698734177215,800.299859353023
800,751.507757404795,716.53811533052,783.263572433194
1000,754.355148095909,739.25316455696,771.906047819974
1200,826.963610719321,794.621097046413,857.087482419129
1400,852.590126939354,815.9164556962,896.838818565398
1600,816.997743300423,767.646976090017,864.185935302391
2400,586.359097320169,546.175246132208,625.677918424754
2600,649.001692524682,629.936990154711,682.465541490858
2800,697.407334273625,676.786779184248,719.377496483826
3000,752.931452750352,713.698734177215,800.299859353023
3200,751.507757404795,716.53811533052,783.263572433194
3400,754.355148095909,739.25316455696,771.906047819974
3600,826.963610719321,794.621097046413,857.087482419129
