Time,Conc,LSD,USD,Concentration,LSD1,USD1
0,72.5961538461538,65.8653846153846,79.0064102564103,4649.195625,4218.144375,5059.720625
200,83.4935897435897,79.0064102564103,87.8205128205128,5347.088125,5059.720625,5624.1925
400,90.8653846153846,85.0961538461538,97.4358974358974,5819.191875,5449.719375,6239.98
600,95.1923076923077,89.2628205128205,101.442307692308,6096.29625,5716.560625,6496.55812500002
800,98.8782051282051,95.1923076923077,103.044871794872,6332.348125,6096.29625,6599.18937500001
1000,95.0320512820513,91.5064102564103,98.7179487179487,6086.033125,5860.244375,6322.085
1200,96.3141025641026,91.9871794871795,101.762820512821,6168.138125,5891.03375,6517.08437500003
1400,102.083333333333,100,104.326923076923,6537.61062499998,6404.19,6681.29437499999
1600,101.282051282051,96.6346153846154,105.769230769231,6486.29499999998,6188.664375,6773.66250000001
1800,95.0320512820513,91.5064102564103,98.7179487179487,6086.033125,5860.244375,6322.085
2000,95.0320512820513,91.6666666666667,97.9166666666667,6086.033125,5870.5075,6270.769375
2200,99.5192307692308,96.3141025641026,102.403846153846,6373.400625,6168.138125,6558.13687499999
2400,99.8397435897436,93.4294871794872,106.25,6393.926875,5983.401875,6804.451875
2600,105.128205128205,100.480769230769,110.096153846154,6732.60999999999,6434.97937499998,7050.76687500001
2800,113.141025641026,103.846153846154,121.955128205128,7245.76625000002,6650.50500000001,7810.23812499999
3000,110.73717948718,107.852564102564,114.102564102564,7091.81937500003,6907.08312499999,7307.34499999999
3200,112.179487179487,108.814102564103,115.064102564103,7184.18749999999,6968.66187500003,7368.92375000003
3400,113.461538461538,107.371794871795,118.910256410256,7266.29249999997,6876.29375000001,7615.23874999997
3600,115.865384615385,111.378205128205,119.551282051282,7420.23937500002,7132.87187499999,7656.29125
