Time,Conc,LSD,USD,Concentration,LSD1,USD1
0,80.4918032786885,72.6229508196721,88.6885245901639,5154.84801639344,4650.91175409836,5679.78162295082
2000,89.672131147541,85.4098360655738,93.9344262295082,5742.77365573771,5469.80818032787,6015.73913114754
4000,101.147540983607,97.2131147540984,106.065573770492,6477.68070491806,6225.7125737705,6792.64086885247
6000,112.295081967213,105.081967213115,119.836065573771,7191.59040983606,6729.64883606559,7674.52932786888
8000,102.786885245902,96.8852459016393,108.032786885246,6582.66742622953,6204.71522950819,6918.62493442624
10000,104.754098360656,100.16393442623,108.360655737705,6708.6514918033,6414.68867213118,6939.62227868853
12000,108.032786885246,103.114754098361,111.639344262295,6918.62493442624,6603.66477049183,7149.59572131147
14000,109.344262295082,102.459016393443,116.55737704918,7002.61431147541,6561.67008196724,7464.55588524588
16000,105.409836065574,96.2295081967213,114.262295081967,6750.64618032788,6162.72054098361,7317.57447540982
18000,101.803278688525,92.6229508196721,110.983606557377,6519.67539344265,5931.74975409836,7107.60103278688
20000,101.475409836066,93.9344262295082,109.344262295082,6498.67804918036,6015.73913114754,7002.61431147541
22000,104.426229508197,94.5901639344262,113.934426229508,6687.654147541,6057.73381967213,7296.57713114753
24000,107.049180327869,93.6065573770492,120.491803278689,6855.63290163935,5994.74178688525,7716.52401639347
26000,112.950819672131,100.819672131148,124.426229508197,7233.58509836065,6456.68336065577,7968.492147541
28000,106.065573770492,95.9016393442623,117.213114754098,6792.64086885247,6141.72319672131,7506.55057377047
30000,115.901639344262,106.393442622951,125.081967213115,7422.56119672129,6813.63821311477,8010.48683606559
32000,112.295081967213,103.770491803279,121.147540983607,7191.59040983606,6645.65945901641,7758.51870491806
34000,112.622950819672,102.786885245902,123.114754098361,7212.58775409835,6582.66742622953,7884.50277049183
36000,120.491803278689,108.688524590164,132.295081967213,7716.52401639347,6960.61962295082,8472.42840983606
