Time,Conc,LSD,USD,Concentration,LSD1,USD1
0,86.2939958592133,78.1780538302277,94.4927536231884,184.626004140787,167.261946169772,202.167246376812
2000,96.6459627329193,93.4989648033126,100.041407867495,206.774037267081,200.041035196687,214.038592132506
4000,97.9710144927536,95.0724637681159,101.035196687371,209.608985507246,203.407536231884,216.16480331263
6000,104.927536231884,103.271221532091,106.666666666667,224.492463768116,220.948778467909,228.213333333334
8000,105.672877846791,103.850931677019,107.660455486542,226.087122153209,222.189068322982,230.339544513457
10000,104.265010351967,103.105590062112,105.672877846791,223.074989648033,220.594409937889,226.087122153209
12000,103.685300207039,102.028985507246,105.258799171843,221.83469979296,218.291014492753,225.201200828158
14000,97.888198757764,96.6459627329193,99.1304347826087,209.431801242236,206.774037267081,212.089565217391
16000,108.074534161491,105.175983436853,111.055900621118,231.22546583851,225.024016563147,237.604099378882
18000,109.648033126294,106.915113871636,112.132505175983,234.591966873706,228.744886128365,239.907494824016
20000,99.8757763975155,94.4099378881988,104.927536231884,213.684223602484,201.990062111801,224.492463768116
22000,101.449275362319,100.289855072464,102.525879917184,217.050724637682,214.570144927537,219.354120082815
24000,98.5507246376812,96.7287784679089,100.455486542443,210.849275362319,206.951221532091,214.924513457557
26000,92.2567287784679,89.6894409937888,94.824016563147,197.383271221532,191.890559006211,202.875983436853
28000,97.4741200828157,95.0724637681159,100.041407867495,208.545879917184,203.407536231884,214.038592132506
30000,100.869565217391,99.1304347826087,102.525879917184,215.810434782608,212.089565217391,219.354120082815
32000,102.028985507246,98.7163561076605,105.590062111801,218.291014492753,211.20364389234,225.909937888198
34000,106.583850931677,103.685300207039,109.482401656315,228.036149068323,221.83469979296,234.237598343686
36000,103.933747412008,100.869565217391,106.997929606625,222.366252587991,215.810434782608,228.922070393374
