Time,Conc,LSD,USD,Concentration,LSD1,USD1
0,81.2892561983471,75.2727272727273,87.3057851239669,5205.91841652893,4820.60847272727,5591.22836033058
200,89.8512396694215,87.0743801652893,92.6280991735537,5754.24410578512,5576.40874710744,5932.07946446281
400,97.4876033057851,93.5537190082645,100.727272727273,6243.29134214876,5991.35791735537,6450.76592727274
600,108.132231404959,102.809917355372,113.685950413223,6924.99355041324,6584.142446281,7280.66426776859
800,104.661157024793,100.03305785124,110.446280991736,6702.69935206609,6406.30708760333,7073.18968264466
1000,105.355371900826,103.04132231405,107.669421487603,6747.15819173551,6598.96205950416,6895.35432396692
1200,110.446280991736,105.818181818182,115.537190082645,7073.18968264466,6776.79741818183,7399.22117355374
1400,115.768595041322,109.98347107438,122.710743801653,7414.04078677684,7043.55045619834,7858.62918347108
1600,114.611570247934,105.818181818182,124.561983471074,7339.94272066116,6776.79741818183,7977.18608925617
1800,105.586776859504,98.8760330578512,112.760330578512,6761.97780495867,6332.2090214876,7221.38581487601
2000,105.355371900826,99.801652892562,110.677685950413,6747.15819173551,6391.48747438017,7088.00929586775
2200,109.520661157025,102.347107438017,117.157024793388,7013.91122975208,6554.50321983474,7502.95846611567
2400,110.214876033058,101.190082644628,120.396694214876,7058.3700694215,6480.405153719,7710.43305123967
2600,116.694214876033,108.132231404959,125.719008264463,7473.31923966942,6924.99355041324,8051.28415537191
2800,117.157024793388,106.743801652893,128.03305785124,7502.95846611567,6836.07587107441,8199.48028760333
3000,113.454545454545,104.661157024793,122.710743801653,7265.84465454543,6702.69935206609,7858.62918347108
3200,118.776859504132,108.826446280992,129.421487603306,7606.69575867767,6969.45239008266,8288.39796694216
3400,119.00826446281,108.363636363636,130.578512396694,7621.51537190083,6939.81316363634,8362.49603305784
3600,122.710743801653,112.760330578512,132.892561983471,7858.62918347108,7221.38581487601,8510.69216528925
